"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.756,-1.569,347.232,-247.272,-247.464,-66.927,-15.585,-3.383,296.602,-263.294,123.627,50.475,-1.768,-1.804,1.007,-2.243,-1.389,-2.007,-0.008,0
2,14.62,-1.711,347.232,-247.272,-247.464,-66.248,-15.761,-3.604,297.471,-257.058,123.574,55.135,-1.768,-1.804,1.003,-2.183,-1.372,-1.979,-0.016,0
3,14.874,-2.156,348.535,-244.087,-249.126,-69.728,-16.076,-3.552,297.044,-260.116,121.823,54.345,-1.773,-1.773,0.988,-2.212,-1.414,-1.975,-0.024,0
4,14.358,-1.892,347.66,-237.782,-249.16,-66.702,-15.683,-3.515,297.471,-257.058,123.574,49.398,-1.779,-1.732,1.003,-2.183,-1.386,-1.94,-0.032,0.001
5,14.668,-1.537,348.556,-237.74,-245.546,-67.22,-16.172,-2.979,297.007,-253.743,125.451,51.109,-1.747,-1.728,1.019,-2.16,-1.387,-1.927,-0.041,0.002
6,14.833,-1.408,348.525,-237.904,-249.104,-71.839,-15.676,-3.201,297.007,-253.743,125.451,49.016,-1.773,-1.73,1.021,-2.159,-1.4,-1.927,-0.049,0.003
7,14.347,-1.64,347.65,-231.599,-249.138,-69.806,-15.81,-3.243,297.007,-253.743,125.451,50.467,-1.779,-1.687,1.02,-2.159,-1.387,-1.905,-0.058,0.004
8,14.259,-1.713,347.65,-231.599,-249.138,-67.404,-16.03,-3.061,297.007,-253.743,125.451,55.09,-1.779,-1.687,1.019,-2.16,-1.388,-1.905,-0.067,0.006
9,14.408,-1.687,347.206,-228.409,-250.927,-71.139,-16.17,-3.112,297.435,-250.684,127.201,50.789,-1.794,-1.666,1.032,-2.13,-1.373,-1.88,-0.075,0.008
10,14.024,-0.965,346.776,-225.294,-249.172,-70.595,-15.898,-2.574,297.876,-247.506,125.397,51.567,-1.785,-1.647,1.016,-2.102,-1.357,-1.857,-0.084,0.01
11,14.574,-1.25,347.227,-222.063,-247.347,-71.861,-15.861,-3.513,298.304,-244.448,127.148,52.262,-1.768,-1.621,1.03,-2.07,-1.341,-1.828,-0.092,0.013
12,14.179,-1.261,346.797,-218.948,-245.592,-63.787,-15.949,-3.296,298.304,-244.448,127.148,50.457,-1.758,-1.6,1.03,-2.07,-1.328,-1.818,-0.1,0.016
13,14.006,-1.027,346.329,-209.5,-250.902,-68.237,-15.765,-3.026,298.304,-244.448,127.148,54.046,-1.8,-1.534,1.03,-2.071,-1.342,-1.782,-0.108,0.019
14,13.978,-0.665,345.898,-206.385,-249.148,-63.525,-15.99,-2.847,299.15,-244.374,130.587,50.849,-1.789,-1.514,1.056,-2.065,-1.298,-1.77,-0.116,0.023
15,14.391,-0.901,345.002,-206.427,-252.762,-64.755,-15.585,-2.67,299.591,-241.196,128.783,54.828,-1.819,-1.517,1.04,-2.036,-1.295,-1.758,-0.124,0.027
16,14.102,-0.852,344.603,-203.148,-247.449,-68.11,-15.943,-3.117,300.483,-241.453,128.657,55.523,-1.783,-1.495,1.035,-2.031,-1.252,-1.745,-0.131,0.032
17,14.234,-0.693,344.173,-200.033,-245.694,-67.937,-15.856,-2.799,300.924,-238.275,126.853,55.137,-1.772,-1.474,1.019,-2.002,-1.237,-1.72,-0.137,0.037
18,14.295,-0.817,344.173,-200.033,-245.694,-72.692,-16.033,-3.024,301.77,-238.202,130.293,54.131,-1.772,-1.474,1.044,-1.995,-1.207,-1.717,-0.144,0.042
19,14.199,-0.796,344.173,-200.033,-245.694,-67.753,-16.068,-2.753,301.77,-238.202,130.293,55.889,-1.772,-1.474,1.044,-1.996,-1.207,-1.718,-0.149,0.048
20,14.151,-0.687,342.846,-196.96,-247.554,-71.936,-16.073,-2.792,301.77,-238.202,130.293,51.25,-1.793,-1.457,1.044,-1.996,-1.193,-1.709,-0.155,0.054
21,13.706,-0.834,343.308,-199.912,-245.75,-71.633,-16.209,-2.525,302.189,-241.186,131.982,57.97,-1.778,-1.477,1.056,-2.019,-1.179,-1.731,-0.16,0.06
22,14.058,-0.543,342.426,-200.029,-245.821,-68.837,-16.427,-2.343,303.08,-241.443,131.856,49.847,-1.783,-1.482,1.051,-2.016,-1.149,-1.733,-0.164,0.067
23,14.193,-0.535,342.426,-200.029,-245.821,-67.702,-16.52,-2.477,303.08,-241.443,131.856,52.33,-1.782,-1.482,1.051,-2.015,-1.149,-1.733,-0.168,0.073
24,13.757,-0.501,342.426,-200.029,-245.821,-70.16,-16.566,-2.441,303.521,-238.265,130.052,51.555,-1.783,-1.482,1.034,-1.986,-1.148,-1.719,-0.171,0.08
25,13.753,-0.634,342.87,-203.218,-244.032,-67.754,-16.336,-2.389,303.058,-234.95,131.929,52.361,-1.768,-1.504,1.052,-1.961,-1.149,-1.718,-0.174,0.087
26,13.581,-0.335,341.575,-199.982,-242.333,-73.058,-16.562,-2.078,303.521,-238.265,130.052,52.272,-1.762,-1.486,1.034,-1.987,-1.121,-1.722,-0.176,0.094
27,13.45,-0.827,342.019,-203.172,-240.545,-70.946,-16.551,-2.206,303.94,-241.25,131.742,53.379,-1.747,-1.506,1.047,-2.009,-1.106,-1.743,-0.178,0.101
28,13.33,-1.033,341.599,-206.24,-238.812,-72.82,-16.649,-2.252,303.498,-244.428,133.545,51.587,-1.737,-1.531,1.063,-2.038,-1.095,-1.769,-0.18,0.108
29,13.368,-0.995,340.272,-203.167,-240.672,-72.178,-16.777,-2.251,303.498,-244.428,133.545,55.518,-1.757,-1.514,1.063,-2.038,-1.081,-1.761,-0.181,0.114
30,13.437,-0.647,341.155,-203.05,-240.601,-65.302,-16.458,-2.33,303.535,-250.801,129.918,53.805,-1.752,-1.51,1.033,-2.091,-1.108,-1.784,-0.181,0.121
31,13.176,-1.012,339.408,-203.046,-240.727,-68.744,-16.546,-2.123,303.962,-247.743,131.669,56.265,-1.763,-1.517,1.046,-2.063,-1.065,-1.775,-0.182,0.128
32,13.185,-0.599,339.842,-200.052,-238.917,-70.414,-16.417,-3.108,303.953,-253.786,131.608,55.903,-1.747,-1.493,1.046,-2.111,-1.065,-1.785,-0.181,0.134
33,13.98,-0.654,339.398,-196.862,-240.706,-68.009,-16.627,-3.151,303.953,-253.786,131.608,53.024,-1.76,-1.471,1.046,-2.111,-1.064,-1.773,-0.181,0.14
34,13.678,-0.949,339.852,-206.235,-238.939,-68.697,-16.536,-3.238,305.299,-263.401,129.543,57.351,-1.746,-1.539,1.024,-2.181,-1.047,-1.843,-0.18,0.146
35,13.485,-1.051,339.852,-206.235,-238.939,-69.462,-16.527,-3.363,305.299,-263.401,129.543,57.044,-1.746,-1.538,1.024,-2.181,-1.047,-1.842,-0.178,0.152
36,13.391,-1.018,338.97,-206.352,-239.01,-70.628,-16.627,-3.767,305.299,-263.401,129.543,53.067,-1.752,-1.543,1.024,-2.179,-1.034,-1.845,-0.177,0.157
37,13.571,-0.79,338.956,-206.277,-242.553,-65.916,-17.24,-3.235,306.181,-269.701,129.356,55.113,-1.778,-1.543,1.017,-2.227,-1.032,-1.868,-0.175,0.162
38,13.674,-0.984,338.956,-206.277,-242.553,-71.045,-16.618,-3.318,305.717,-266.386,131.233,55.218,-1.777,-1.543,1.037,-2.202,-1.032,-1.856,-0.172,0.167
39,13.632,-0.752,339.408,-203.046,-240.727,-70.09,-16.753,-3.545,305.717,-266.386,131.233,60.173,-1.761,-1.517,1.036,-2.202,-1.033,-1.842,-0.17,0.172
40,13.756,-1.085,338.956,-206.277,-242.553,-66.271,-16.535,-3.322,306.145,-263.327,132.983,55.213,-1.777,-1.543,1.05,-2.174,-1.017,-1.842,-0.167,0.176
41,13.314,-0.963,339.852,-206.235,-238.939,-66.559,-16.622,-3.508,305.299,-263.401,129.543,53.047,-1.747,-1.539,1.024,-2.18,-1.048,-1.842,-0.164,0.18
42,13.492,-1.183,339.852,-206.235,-238.939,-72.545,-16.4,-3.367,305.717,-266.386,131.233,55.981,-1.746,-1.538,1.037,-2.202,-1.032,-1.853,-0.161,0.183
43,13.759,-1.445,339.862,-212.419,-238.96,-65.602,-16.579,-3.547,306.622,-266.523,127.552,50.251,-1.746,-1.583,1.003,-2.196,-1.03,-1.874,-0.157,0.187
44,13.887,-0.774,339.831,-212.582,-242.519,-71.332,-16.793,-3.004,305.717,-266.386,131.233,54.158,-1.772,-1.587,1.036,-2.203,-1.046,-1.879,-0.154,0.19
45,13.874,-1.335,340.727,-212.54,-238.905,-69.37,-16.402,-3.139,305.74,-260.223,127.74,52.777,-1.74,-1.581,1.008,-2.152,-1.059,-1.851,-0.15,0.193
46,13.756,-1.222,340.282,-209.35,-240.693,-72.185,-15.815,-3.457,305.299,-263.401,129.543,54.266,-1.756,-1.559,1.026,-2.18,-1.06,-1.853,-0.147,0.196
47,13.792,-1.21,340.727,-212.54,-238.905,-67.181,-16.085,-3.056,305.299,-263.401,129.543,53.141,-1.741,-1.581,1.026,-2.182,-1.06,-1.865,-0.143,0.198
48,13.45,-1.43,340.727,-212.54,-238.905,-65.917,-16.044,-3.279,305.74,-260.223,127.74,51.71,-1.742,-1.58,1.009,-2.151,-1.059,-1.85,-0.14,0.2
49,13.658,-0.969,340.727,-212.54,-238.905,-70.97,-16.347,-3.284,305.299,-263.401,129.543,53.455,-1.741,-1.582,1.025,-2.181,-1.061,-1.865,-0.136,0.202
50,14.354,-0.627,340.727,-212.54,-238.905,-68.746,-15.829,-3.147,304.453,-263.475,126.104,53.866,-1.739,-1.583,1.001,-2.188,-1.089,-1.868,-0.133,0.204
51,13.663,-0.907,340.727,-212.54,-238.905,-69.076,-16.368,-2.924,304.417,-257.101,129.731,56.978,-1.741,-1.582,1.029,-2.136,-1.077,-1.843,-0.129,0.206
52,13.172,-1.23,339.831,-212.582,-242.519,-66.315,-16.187,-3.228,304.453,-263.475,126.104,57.459,-1.774,-1.585,0.999,-2.188,-1.091,-1.87,-0.126,0.208
53,13.479,-1.167,340.727,-212.54,-238.905,-71.202,-16.184,-3.103,303.989,-260.16,127.98,49.149,-1.742,-1.581,1.017,-2.164,-1.092,-1.856,-0.123,0.209
